Time,R1,R2,R3,R4,Ave,SD
208,739.601,743.42,742.156,742.149,741.8315,1.602557227
208.5,739.555,743.506,742.19,742.194,741.86125,1.65758768
209,739.417,743.609,742.181,742.241,741.862,1.758354913
209.5,739.463,743.604,742.186,742.095,741.837,1.72689799
210,739.424,743.549,742.087,742.116,741.794,1.721090546
210.5,739.453,743.632,742.14,742.172,741.84925,1.742499617
211,739.375,743.716,741.967,742.383,741.86025,1.817043271
211.5,739.315,743.541,741.934,742.206,741.749,1.768115192
212,739.219,743.621,741.968,742.197,741.75125,1.839739905
212.5,739.333,743.663,741.936,742.212,741.786,1.80224989
213,739.346,743.538,741.989,742.154,741.75675,1.750839299
213.5,739.194,743.621,741.802,742.258,741.71875,1.852083399
214,739.221,743.621,741.854,742.269,741.74125,1.841770231
214.5,738.959,743.777,742.242,742.24,741.8045,2.030491977
215,738.91,744.182,742.167,742.052,741.82775,2.177241125
215.5,738.905,744.512,741.943,742.043,741.85075,2.295296985
216,738.928,744.768,741.912,741.855,741.86575,2.384371668
216.5,738.909,744.69,741.846,741.878,741.83075,2.360395359
217,738.751,744.655,741.688,741.866,741.74,2.411771548
217.5,738.653,744.485,741.656,741.663,741.61425,2.381479005
218,739.007,744.536,741.666,741.586,741.69875,2.259003523
218.5,739.116,744.499,741.571,741.781,741.74175,2.200582252
219,739.285,744.576,741.66,741.559,741.77,2.168369741
219.5,739.447,744.599,741.516,741.514,741.769,2.123646078
220,739.7,744.571,741.337,741.321,741.73225,2.042375312
220.5,739.767,744.53,741.44,741.321,741.7645,1.994992815
221,739.833,744.49,741.385,741.307,741.75375,1.958903328
221.5,739.993,744.512,741.248,741.184,741.73425,1.939678732
222,740.389,744.451,741.342,741.031,741.80325,1.80921758
222.5,740.646,744.533,741.221,741.047,741.86175,1.797034849
223,740.668,744.41,741.379,740.989,741.8615,1.723693418
223.5,740.899,744.385,741.375,740.806,741.86625,1.697560087
224,741.294,744.367,741.215,740.731,741.90175,1.662237323
224.5,741.844,744.078,741.208,740.661,741.94775,1.500187183
225,741.931,744.013,741.25,740.723,741.97925,1.443195153
225.5,742.102,744.08,741.184,740.859,742.05625,1.448204031
226,742.115,743.987,741.06,741.085,742.06175,1.374404932
226.5,742.205,743.88,741.076,741.016,742.04425,1.340475631
227,742.349,743.875,741.084,741.076,742.096,1.328331535
